user_term,standard_symptom,language
fever,fever,English
suffering from fever,fever,English
feeling fever,fever,English
mild fever,fever,English
feaver,fever,English
suffering from feaver,fever,English
feeling feaver,fever,English
mild feaver,fever,English
feverish,fever,English
suffering from feverish,fever,English
feeling feverish,fever,English
mild feverish,fever,English
high temperature,fever,English
suffering from high temperature,fever,English
feeling high temperature,fever,English
mild high temperature,fever,English
running a temperature,fever,English
suffering from running a temperature,fever,English
feeling running a temperature,fever,English
mild running a temperature,fever,English
i have a fever,fever,English
suffering from i have a fever,fever,English
feeling i have a fever,fever,English
mild i have a fever,fever,English
body is hot,fever,English
suffering from body is hot,fever,English
feeling body is hot,fever,English
mild body is hot,fever,English
बुखार,fever,Hindi
मुझे बुखार महसूस हो रहा है,fever,Hindi
लगातार बुखार,fever,Hindi
ज्वर,fever,Hindi
मुझे ज्वर महसूस हो रहा है,fever,Hindi
लगातार ज्वर,fever,Hindi
ताप,fever,Hindi
मुझे ताप महसूस हो रहा है,fever,Hindi
लगातार ताप,fever,Hindi
शरीर गर्म है,fever,Hindi
मुझे शरीर गर्म है महसूस हो रहा है,fever,Hindi
लगातार शरीर गर्म है,fever,Hindi
बुखार आ रहा है,fever,Hindi
मुझे बुखार आ रहा है महसूस हो रहा है,fever,Hindi
लगातार बुखार आ रहा है,fever,Hindi
तेज बुखार,fever,Hindi
मुझे तेज बुखार महसूस हो रहा है,fever,Hindi
लगातार तेज बुखार,fever,Hindi
bukhar,fever,Hinglish
sir mujhe bukhar ho gaya hai,fever,Hinglish
bukhar ki problem hai,fever,Hinglish
bhaiya bukhar thik nhi ho rha,fever,Hinglish
bukhaar,fever,Hinglish
sir mujhe bukhaar ho gaya hai,fever,Hinglish
bukhaar ki problem hai,fever,Hinglish
bhaiya bukhaar thik nhi ho rha,fever,Hinglish
bukar,fever,Hinglish
sir mujhe bukar ho gaya hai,fever,Hinglish
bukar ki problem hai,fever,Hinglish
bhaiya bukar thik nhi ho rha,fever,Hinglish
buker,fever,Hinglish
sir mujhe buker ho gaya hai,fever,Hinglish
buker ki problem hai,fever,Hinglish
bhaiya buker thik nhi ho rha,fever,Hinglish
body garam hai,fever,Hinglish
sir mujhe body garam hai ho gaya hai,fever,Hinglish
body garam hai ki problem hai,fever,Hinglish
bhaiya body garam hai thik nhi ho rha,fever,Hinglish
mujhe bukhar hai,fever,Hinglish
sir mujhe mujhe bukhar hai ho gaya hai,fever,Hinglish
mujhe bukhar hai ki problem hai,fever,Hinglish
bhaiya mujhe bukhar hai thik nhi ho rha,fever,Hinglish
tej bukhar h,fever,Hinglish
sir mujhe tej bukhar h ho gaya hai,fever,Hinglish
tej bukhar h ki problem hai,fever,Hinglish
bhaiya tej bukhar h thik nhi ho rha,fever,Hinglish
बुखार बा,fever,Bhojpuri
हमरा के बुखार बा बा,fever,Bhojpuri
परेशान बानी बुखार बा से,fever,Bhojpuri
ताप लागल बा,fever,Bhojpuri
हमरा के ताप लागल बा बा,fever,Bhojpuri
परेशान बानी ताप लागल बा से,fever,Bhojpuri
देह गरम बा,fever,Bhojpuri
हमरा के देह गरम बा बा,fever,Bhojpuri
परेशान बानी देह गरम बा से,fever,Bhojpuri
जार आइल बा,fever,Bhojpuri
हमरा के जार आइल बा बा,fever,Bhojpuri
परेशान बानी जार आइल बा से,fever,Bhojpuri
बुखार चढ़ल बा,fever,Bhojpuri
हमरा के बुखार चढ़ल बा बा,fever,Bhojpuri
परेशान बानी बुखार चढ़ल बा से,fever,Bhojpuri
bukhar ba,fever,Roman Bhojpuri
hamra ke bukhar ba,fever,Roman Bhojpuri
babuji ke bukhar ba,fever,Roman Bhojpuri
deh me bukhar ba lagta,fever,Roman Bhojpuri
taap lagal ba,fever,Roman Bhojpuri
hamra ke taap lagal ba,fever,Roman Bhojpuri
babuji ke taap lagal ba,fever,Roman Bhojpuri
deh me taap lagal ba lagta,fever,Roman Bhojpuri
deh garam ba,fever,Roman Bhojpuri
hamra ke deh garam ba,fever,Roman Bhojpuri
babuji ke deh garam ba,fever,Roman Bhojpuri
deh me deh garam ba lagta,fever,Roman Bhojpuri
jar ail ba,fever,Roman Bhojpuri
hamra ke jar ail ba,fever,Roman Bhojpuri
babuji ke jar ail ba,fever,Roman Bhojpuri
deh me jar ail ba lagta,fever,Roman Bhojpuri
bukhar cadhal ba,fever,Roman Bhojpuri
hamra ke bukhar cadhal ba,fever,Roman Bhojpuri
babuji ke bukhar cadhal ba,fever,Roman Bhojpuri
deh me bukhar cadhal ba lagta,fever,Roman Bhojpuri
hamra bukhar ba,fever,Roman Bhojpuri
hamra ke hamra bukhar ba,fever,Roman Bhojpuri
babuji ke hamra bukhar ba,fever,Roman Bhojpuri
deh me hamra bukhar ba lagta,fever,Roman Bhojpuri
high fever,high_fever,English
suffering from high fever,high_fever,English
feeling high fever,high_fever,English
mild high fever,high_fever,English
very high fever,high_fever,English
suffering from very high fever,high_fever,English
feeling very high fever,high_fever,English
mild very high fever,high_fever,English
severe fever,high_fever,English
suffering from severe fever,high_fever,English
feeling severe fever,high_fever,English
mild severe fever,high_fever,English
burning up,high_fever,English
suffering from burning up,high_fever,English
feeling burning up,high_fever,English
mild burning up,high_fever,English
intense fever,high_fever,English
suffering from intense fever,high_fever,English
feeling intense fever,high_fever,English
mild intense fever,high_fever,English
extreme temperature,high_fever,English
suffering from extreme temperature,high_fever,English
feeling extreme temperature,high_fever,English
mild extreme temperature,high_fever,English
तेज बुखार,high_fever,Hindi
मुझे तेज बुखार महसूस हो रहा है,high_fever,Hindi
लगातार तेज बुखार,high_fever,Hindi
बहुत तेज बुखार,high_fever,Hindi
मुझे बहुत तेज बुखार महसूस हो रहा है,high_fever,Hindi
लगातार बहुत तेज बुखार,high_fever,Hindi
भयंकर बुखार,high_fever,Hindi
मुझे भयंकर बुखार महसूस हो रहा है,high_fever,Hindi
लगातार भयंकर बुखार,high_fever,Hindi
शरीर आग की तरह जल रहा है,high_fever,Hindi
मुझे शरीर आग की तरह जल रहा है महसूस हो रहा है,high_fever,Hindi
लगातार शरीर आग की तरह जल रहा है,high_fever,Hindi
tej bukhar,high_fever,Hinglish
sir mujhe tej bukhar ho gaya hai,high_fever,Hinglish
tej bukhar ki problem hai,high_fever,Hinglish
bhaiya tej bukhar thik nhi ho rha,high_fever,Hinglish
bahut tej bukhar,high_fever,Hinglish
sir mujhe bahut tej bukhar ho gaya hai,high_fever,Hinglish
bahut tej bukhar ki problem hai,high_fever,Hinglish
bhaiya bahut tej bukhar thik nhi ho rha,high_fever,Hinglish
bhayanak bukhar,high_fever,Hinglish
sir mujhe bhayanak bukhar ho gaya hai,high_fever,Hinglish
bhayanak bukhar ki problem hai,high_fever,Hinglish
bhaiya bhayanak bukhar thik nhi ho rha,high_fever,Hinglish
