disease,specialist_doctor,department,consultation_priority,referral_required
Viral Fever,General Physician,General Medicine,Low,No
Common Cold,General Physician,General Medicine,Low,No
Influenza,General Physician,General Medicine,Medium,No
COVID-19,Pulmonologist,Pulmonology,High,Yes
Dengue,General Physician,General Medicine,High,No
Malaria,Infectious Disease Specialist,Infectious Diseases,High,Yes
Typhoid,General Physician,General Medicine,Medium,No
Migraine,Neurologist,Neurology,Medium,Yes
Sinusitis,Otolaryngologist,ENT Department,Low,No
Asthma,Pulmonologist,Pulmonology,Medium,Yes
Bronchitis,Pulmonologist,Pulmonology,Medium,No
Pneumonia,Pulmonologist,Pulmonology,High,Yes
Tuberculosis,Pulmonologist,Pulmonology,High,Yes
Hypertension,Cardiologist,Cardiology,Medium,No
Hypotension,General Physician,General Medicine,Low,No
Diabetes Type 1,Endocrinologist,Endocrinology,High,Yes
Diabetes Type 2,Endocrinologist,Endocrinology,Medium,No
Acidity,Gastroenterologist,Gastroenterology,Low,No
Gastritis,Gastroenterologist,Gastroenterology,Low,No
Peptic Ulcer,Gastroenterologist,Gastroenterology,Medium,Yes
Food Poisoning,General Physician,General Medicine,Medium,No
Gastroenteritis,Gastroenterologist,Gastroenterology,Medium,No
Irritable Bowel Syndrome,Gastroenterologist,Gastroenterology,Medium,Yes
Constipation,General Physician,General Medicine,Low,No
Diarrhea,General Physician,General Medicine,Low,No
Arthritis,Rheumatologist,Rheumatology,Medium,Yes
Osteoarthritis,Rheumatologist,Rheumatology,Medium,No
Rheumatoid Arthritis,Rheumatologist,Rheumatology,High,Yes
Back Pain,Orthopedic Surgeon,Orthopedics,Low,No
Kidney Stone,Urologist,Urology,High,No
Urinary Tract Infection,Urologist,Urology,Medium,No
Fatty Liver,Hepatologist,Gastroenterology,Medium,Yes
Hepatitis A,Hepatologist,Gastroenterology,Medium,No
Hepatitis B,Hepatologist,Gastroenterology,High,Yes
Hepatitis C,Hepatologist,Gastroenterology,High,Yes
Anemia,Hematologist,Hematology,Medium,No
Hypothyroidism,Endocrinologist,Endocrinology,Medium,No
Hyperthyroidism,Endocrinologist,Endocrinology,Medium,Yes
Obesity,Bariatric Specialist,Endocrinology,Low,No
Malnutrition,Dietitian,Nutrition and Dietetics,Medium,No
Allergy,Allergist,Immunology,Low,No
