disease,category,description,causes,common_symptoms,risk_factors,complications,prevention,specialist_doctor,severity
Viral Fever,Infectious Disease,Common viral infection causing elevation in body temperature,Viral infection,Fever;Headache;Body Pain,Weak immunity;Exposure to infected persons,Dehydration;Extreme weakness,Hand hygiene and vaccination,General Physician,Low
Common Cold,Infectious Disease,Mild viral infection of the upper respiratory tract,Rhinovirus or Coronavirus,Runny nose;Sneezing;Sore throat,Cold weather;Low immunity;Crowded places,Sinusitis;Ear infection,Frequent hand washing,General Physician,Low
Influenza,Infectious Disease,Contagious respiratory illness affecting the nose throat and lungs,Influenza virus,High fever;Chills;Muscle aches;Cough,Age under 5 or over 65;Pregnancy;Chronic illness,Pneumonia;Bronchitis;Myocarditis,Annual flu vaccine,General Physician,Medium
COVID-19,Infectious Disease,Respiratory illness caused by the SARS-CoV-2 virus,SARS-CoV-2 virus,Fever;Dry cough;Fatigue;Loss of taste,Old age;Unvaccinated status;Comorbidities,Respiratory failure;Long COVID;Organ damage,Vaccination;Masking;Social distancing,Pulmonologist,High
Dengue,Infectious Disease,Mosquito-borne viral infection causing severe flu-like symptoms,Dengue virus,High fever;Severe headache;Joint pain;Rash,Tropical climate;Standing water near home,Dengue hemorrhagic fever;Shock,Mosquito control and repellents,General Physician,High
Malaria,Infectious Disease,Life-threatening blood disease transmitted by infected mosquitoes,Plasmodium parasite,Chills;Fever;Sweating;Shivering,Living in endemic regions;No mosquito netting,Anemia;Cerebral malaria;Organ failure,Antimalarial drugs;Mosquito nets,Infectious Disease Specialist,High
Typhoid,Infectious Disease,Bacterial infection caused by contaminated food and water,Salmonella typhi bacteria,Prolonged fever;Weakness;Stomach pain;Constipation,Poor sanitation;Unsafe drinking water,Intestinal perforation;Internal bleeding,Safe food and clean water;Vaccination,General Physician,Medium
Migraine,Neurological Disorder,Neurological condition characterized by intense debilitating headaches,Genetic and environmental factors,Severe throbbing headache;Nausea;Sensitivity to light,Family history;High stress;Hormonal changes,Chronic migraine;Status migrainosus,Avoiding known triggers;Stress management,Neurologist,Medium
Sinusitis,Respiratory Disease,Inflammation or swelling of the tissue lining the sinuses,Infection or allergies,Nasal congestion;Facial pressure;Thick nasal discharge,Allergies;Nasal polyps;Deviated septum,Chronic sinusitis;Meningitis,Treating allergies;Avoiding smoke,ENT Specialist,Low
Asthma,Respiratory Disease,Chronic condition that inflames and narrows the airways,Genetic and environmental triggers,Wheezing;Shortness of breath;Chest tightness;Coughing,Family history;Allergies;Smoking;Obesity,Severe asthma attacks;Airway remodeling,Avoiding triggers;Using inhalers,Pulmonologist,Medium
Bronchitis,Respiratory Disease,Inflammation of the lining of the bronchial tubes,Viral or bacterial infection;Irritants,Persistent cough;Mucus production;Fatigue;Shortness of breath,Smoking;Exposure to chemical fumes;Weak immunity,Pneumonia;Chronic obstructive pulmonary disease,Avoiding lung irritants;Quitting smoking,Pulmonologist,Medium
Pneumonia,Respiratory Disease,Infection that inflames air sacs in one or both lungs,Bacteria;Viruses;Fungi,Cough with phlegm;Fever;Chills;Difficulty breathing,Smoking;Chronic lung disease;Weak immunity,Pleural effusion;Lung abscess;Bacteremia,Pneumococcal vaccine;Hand hygiene,Pulmonologist,High
Tuberculosis,Infectious Disease,Serious bacterial disease that mainly affects the lungs,Mycobacterium tuberculosis,Chronic cough;Weight loss;Night sweats;Fever,HIV infection;Malnutrition;Living in crowded areas,Lung damage;Spinal pain;Meningitis,BCG vaccine;Proper ventilation,Pulmonologist,High
Hypertension,Cardiovascular Disease,Long-term medical condition where blood pressure is persistently elevated,Genetics;Poor diet;Lack of exercise,Often asymptomatic;Headaches;Dizziness,High salt intake;Obesity;Stress;Age,Heart attack;Stroke;Kidney failure,Low-sodium diet;Regular exercise,Cardiologist,Medium
Hypotension,Cardiovascular Disease,Condition where blood pressure drops below normal levels,Dehydration;Heart problems;Endocrine issues,Dizziness;Fainting;Blurred vision;Nausea,Bed rest;Pregnancy;Certain medications,Shock;Organ damage from low oxygen,Adequate hydration;Sufficient salt intake,General Physician,Low
Diabetes Type 1,Endocrine Disease,Chronic condition where the pancreas produces little or no insulin,Autoimmune destruction of beta cells,Increased thirst;Frequent urination;Extreme hunger;Weight loss,Family history;Genetics;Geographic location,Cardiovascular disease;Nerve damage;Kidney damage,None currently known,Endocrinologist,High
Diabetes Type 2,Endocrine Disease,Chronic condition affecting the way the body processes blood sugar,Insulin resistance;Obesity;Inactivity,Fatigue;Blurry vision;Slow-healing sores;Frequent urination,Overweight;Inactivity;Family history;Age,Retinopathy;Neuropathy;Nephropathy;Stroke,Healthy weight;Active lifestyle,Endocrinologist,High
Acidity,Gastrointestinal Disease,Condition characterized by excess production of acid by the stomach glands,Spicy food;Irregular meals;Stress,Heartburn;Sour eructation;Burning sensation in throat,Smoking;Alcohol;Obesity;Lying down after meals,Esophageal stricture;GERD,Balanced meals;Avoiding late-night eating,Gastroenterologist,Low
Gastritis,Gastrointestinal Disease,Inflammation of the protective lining of the stomach,H. pylori infection;NSAIDs usage;Excess alcohol,Stomach upset;Bloating;Nausea;Vomiting;Indigestion,Frequent painkiller use;Older age;Chronic stress,Stomach ulcers;Stomach cancer,Limiting NSAIDs and alcohol,Gastroenterologist,Medium
Peptic Ulcer,Gastrointestinal Disease,Sores that develop on the inside lining of the stomach and upper small intestine,H. pylori bacteria;Long-term NSAID use,Burning stomach pain;Bloating;Heartburn;Nausea,Smoking;Alcohol consumption;Untreated stress,Internal bleeding;Perforation;Gastric obstruction,Avoiding NSAIDs;Treating H. pylori,Gastroenterologist,Medium
Food Poisoning,Gastrointestinal Disease,Illness caused by consuming contaminated spoiled or toxic food,Bacteria;Viruses;Parasites,Nausea;Vomiting;Watery diarrhea;Abdominal cramps,Eating raw or undercooked meat;Poor food hygiene,Severe dehydration;Kidney damage,Proper food handling and cooking,General Physician,Low
Gastroenteritis,Gastrointestinal Disease,Inflammation of the stomach and intestines typically from an infection,Rotavirus;Norovirus;Bacterial toxins,Diarrhea;Vomiting;Stomach cramps;Mild fever,Contaminated food or water;Contact with infected person,Dehydration;Electrolyte imbalance,Washing hands;Safe water consumption,Gastroenterologist,Medium
Irritable Bowel Syndrome,Gastrointestinal Disease,Common disorder affecting the large intestine causing chronic symptoms,Gut-brain interaction issues;Gut flora changes,Cramping;Abdominal pain;Bloating;Gas;Diarrhea;Constipation,Young age;Female gender;Anxiety;Depression,Severe chronic discomfort;Hemorrhoids,Stress reduction;Dietary modifications,Gastroenterologist,Medium
Constipation,Gastrointestinal Disease,Condition where bowel movements occur less frequently or are difficult,Low fiber diet;Dehydration;Inactivity,Fewer than three stools a week;Straining;Hard stools,Low-fiber diet;Lack of fluids;Sedentary life,Hemorrhoids;Anal fissures;Fecal impaction,High-fiber diet;Adequate water intake,General Physician,Low
Diarrhea,Gastrointestinal Disease,Condition involving frequent loose or watery bowel movements,Infections;Food intolerances;Medications,Loose stools;Abdominal cramps;Urgency,Poor hygiene;Contaminated water;Antibiotic use,Severe dehydration;Malnutrition,Handwashing;Safe food practices;Rotavirus vaccine,General Physician,Low
