disease,advice_type,advice
Viral Fever,Hydration,Drink plenty of water and oral rehydration solutions throughout the day
Viral Fever,Rest,Take adequate rest and avoid strenuous physical activities
Viral Fever,Diet,Eat light easily digestible and nutritious food like soups and porridge
Viral Fever,Precaution,Monitor body temperature regularly and consult a doctor if it exceeds 103F
Viral Fever,Lifestyle,Avoid close contact with others to prevent spreading the infection
Common Cold,Hydration,Drink warm fluids like herbal tea and warm water to soothe your throat
Common Cold,Rest,Ensure 7 to 8 hours of sleep to help your immune system recover
Common Cold,Diet,Include foods rich in Vitamin C and zinc like citrus fruits and nuts
Common Cold,Precaution,Wash your hands frequently and cover your mouth when sneezing
Common Cold,Lifestyle,Use a humidifier or inhale steam to relieve nasal congestion
Influenza,Hydration,Sip on water clear broths or electrolyte solutions regularly
Influenza,Rest,Stay at home and rest completely until your fever subsides for 24 hours
Influenza,Diet,Eat small frequent meals containing lean proteins and cooked vegetables
Influenza,Precaution,Watch out for severe symptoms like shortness of breath or chest pain
Influenza,Lifestyle,Isolate yourself from family members to prevent household transmission
COVID-19,Hydration,Stay well hydrated by drinking fluids at regular intervals
COVID-19,Rest,Get plenty of rest and avoid any physical exertion during recovery
COVID-19,Diet,Consume a balanced diet rich in vitamins and minerals to support immunity
COVID-19,Precaution,Wear a mask and monitor your oxygen saturation levels with a pulse oximeter
COVID-19,Lifestyle,Isolate in a well ventilated room and follow national quarantine guidelines
Dengue,Hydration,Drink ample fluids like coconut water and ORS to maintain platelet counts
Dengue,Rest,Strict bed rest is essential to prevent complications and exhaustion
Dengue,Diet,Eat soft foods and avoid dark colored foods that could mask internal bleeding
Dengue,Precaution,Avoid taking aspirin or ibuprofen as they can worsen bleeding risks
Dengue,Lifestyle,Use mosquito nets and repellents to prevent further mosquito bites
Malaria,Hydration,Consume plenty of clean water and fluids to counteract high fever dehydration
Malaria,Rest,Get complete bed rest until the course of medication is completed
Malaria,Diet,Eat high calorie foods to regain energy but keep them low in fat
Malaria,Precaution,Complete the full course of prescribed antimalarial medication without fail
Malaria,Lifestyle,Eliminate standing water around your living space to prevent mosquito breeding
Typhoid,Hydration,Drink boiled or purified water to prevent further contamination
Typhoid,Rest,Restrict physical movement and take complete rest until completely cured
Typhoid,Diet,Eat a bland bland diet like white rice bananas and boiled potatoes
Typhoid,Precaution,Maintain strict personal hygiene and wash hands thoroughly before meals
Typhoid,Lifestyle,Avoid eating food from street vendors or unhygienic places
Migraine,Lifestyle,Identify and avoid personal triggers such as bright lights and loud noises
Migraine,Rest,Rest or sleep in a quiet dark and cool room during an attack
Migraine,Hydration,Maintain a consistent hydration schedule to prevent trigger headaches
Migraine,Diet,Avoid aged cheeses processed meats and artificial sweeteners
Migraine,Precaution,Keep a headache diary to track the frequency and causes of your attacks
Sinusitis,Hydration,Drink plenty of water to help thin the mucus in your nasal passages
Sinusitis,Rest,Allow your body to rest to help fight off the sinus infection
Sinusitis,Diet,Incorporate spicy foods like horseradish or chili if tolerated to clear sinuses
Sinusitis,Precaution,Avoid sudden temperature changes and exposure to cigarette smoke
Sinusitis,Lifestyle,Apply a warm compress over your nose and forehead to relieve sinus pressure
Asthma,Exercise,Perform light exercises like walking but use a rescue inhaler beforehand if needed
Asthma,Diet,Eat fresh fruits and vegetables containing antioxidants to reduce inflammation
